zillow_region_id,region_name,state_name,date,rent
394297,"Aberdeen, SD",SD,2025-05-01,933.55
394297,"Aberdeen, SD",SD,2025-06-01,949.63
394297,"Aberdeen, SD",SD,2025-07-01,979.74
394297,"Aberdeen, SD",SD,2025-08-01,987.21
394297,"Aberdeen, SD",SD,2025-09-01,971.77
394297,"Aberdeen, SD",SD,2025-10-01,955.03
394297,"Aberdeen, SD",SD,2025-11-01,1012.02
394297,"Aberdeen, SD",SD,2025-12-01,1061.42
394297,"Aberdeen, SD",SD,2026-01-01,1117.22
394297,"Aberdeen, SD",SD,2026-02-01,1073.41
394297,"Aberdeen, SD",SD,2026-03-01,1076.36
394297,"Aberdeen, SD",SD,2026-04-01,1051.11
394297,"Aberdeen, SD",SD,2026-05-01,1068.99
394297,"Aberdeen, SD",SD,2026-06-01,1066.75
394297,"Aberdeen, SD",SD,2026-07-01,1073.2
394298,"Aberdeen, WA",WA,2022-06-01,1201.88
394298,"Aberdeen, WA",WA,2022-07-01,1190.13
394298,"Aberdeen, WA",WA,2022-08-01,1201.27
394298,"Aberdeen, WA",WA,2022-09-01,1195.91
394298,"Aberdeen, WA",WA,2022-10-01,1207.89
394298,"Aberdeen, WA",WA,2022-11-01,1230.88
394298,"Aberdeen, WA",WA,2022-12-01,1257.58
394298,"Aberdeen, WA",WA,2023-01-01,1276.81
394298,"Aberdeen, WA",WA,2023-02-01,1288.03
394298,"Aberdeen, WA",WA,2023-03-01,1287.76
394298,"Aberdeen, WA",WA,2023-04-01,1286.79
394298,"Aberdeen, WA",WA,2023-05-01,1274.67
394298,"Aberdeen, WA",WA,2023-06-01,1280.46
394298,"Aberdeen, WA",WA,2023-07-01,1276.07
394298,"Aberdeen, WA",WA,2023-08-01,1276.4
394298,"Aberdeen, WA",WA,2023-09-01,1286.13
394298,"Aberdeen, WA",WA,2023-10-01,1295.82
394298,"Aberdeen, WA",WA,2023-11-01,1298.12
394298,"Aberdeen, WA",WA,2023-12-01,1291.86
394298,"Aberdeen, WA",WA,2024-01-01,1289.41
394298,"Aberdeen, WA",WA,2024-02-01,1300.88
394298,"Aberdeen, WA",WA,2024-03-01,1319.18
394298,"Aberdeen, WA",WA,2024-04-01,1325.5
394298,"Aberdeen, WA",WA,2024-05-01,1321.96
394298,"Aberdeen, WA",WA,2024-06-01,1324.64
394298,"Aberdeen, WA",WA,2024-07-01,1325.0
394298,"Aberdeen, WA",WA,2024-08-01,1320.62
394298,"Aberdeen, WA",WA,2024-09-01,1323.93
394298,"Aberdeen, WA",WA,2024-10-01,1330.24
394298,"Aberdeen, WA",WA,2024-11-01,1337.91
394298,"Aberdeen, WA",WA,2024-12-01,1329.28
394298,"Aberdeen, WA",WA,2025-01-01,1332.18
394298,"Aberdeen, WA",WA,2025-02-01,1321.63
394298,"Aberdeen, WA",WA,2025-03-01,1343.36
394298,"Aberdeen, WA",WA,2025-04-01,1358.06
394298,"Aberdeen, WA",WA,2025-05-01,1381.59
394298,"Aberdeen, WA",WA,2025-06-01,1398.46
394298,"Aberdeen, WA",WA,2025-07-01,1407.32
394298,"Aberdeen, WA",WA,2025-08-01,1406.57
394298,"Aberdeen, WA",WA,2025-09-01,1398.07
394298,"Aberdeen, WA",WA,2025-10-01,1406.45
394298,"Aberdeen, WA",WA,2025-11-01,1414.51
394298,"Aberdeen, WA",WA,2025-12-01,1396.11
394298,"Aberdeen, WA",WA,2026-01-01,1370.28
394298,"Aberdeen, WA",WA,2026-02-01,1369.06
394298,"Aberdeen, WA",WA,2026-03-01,1388.28
394298,"Aberdeen, WA",WA,2026-04-01,1470.8
394298,"Aberdeen, WA",WA,2026-05-01,1487.47
394298,"Aberdeen, WA",WA,2026-06-01,1509.91
394298,"Aberdeen, WA",WA,2026-07-01,1449.1
394299,"Abilene, TX",TX,2015-01-01,820.34
394299,"Abilene, TX",TX,2015-02-01,822.5
394299,"Abilene, TX",TX,2015-03-01,820.97
394299,"Abilene, TX",TX,2015-04-01,821.4
394299,"Abilene, TX",TX,2015-05-01,829.59
394299,"Abilene, TX",TX,2015-06-01,837.12
394299,"Abilene, TX",TX,2015-07-01,839.13
394299,"Abilene, TX",TX,2015-08-01,836.7
394299,"Abilene, TX",TX,2015-09-01,835.08
394299,"Abilene, TX",TX,2015-10-01,835.42
394299,"Abilene, TX",TX,2015-11-01,839.16
394299,"Abilene, TX",TX,2015-12-01,840.24
394299,"Abilene, TX",TX,2016-01-01,841.2
394299,"Abilene, TX",TX,2016-02-01,841.51
394299,"Abilene, TX",TX,2016-03-01,840.42
394299,"Abilene, TX",TX,2016-04-01,847.65
394299,"Abilene, TX",TX,2016-05-01,847.15
394299,"Abilene, TX",TX,2016-06-01,853.02
394299,"Abilene, TX",TX,2016-07-01,850.65
394299,"Abilene, TX",TX,2016-08-01,850.34
394299,"Abilene, TX",TX,2016-09-01,851.54
394299,"Abilene, TX",TX,2016-10-01,853.39
